# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StorageLockContext.competingThreads.avg,1753544253242000000,1753544260331000000,0.0
DirectByteBufferAllocator.reclaimed,1753544253242000000,1753544260331000000,46
FilePageCache.disposedBuffers,1753544253242000000,1753544260331000000,229
FilePageCache.maxCacheSizeInBytes,1753544253242000000,1753544260331000000,244334592
DirectByteBufferAllocator.disposed,1753544253242000000,1753544260331000000,183
FilePageCache.pageHits,1753544253242000000,1753544260331000000,0
StorageLockContext.competingThreads.max,1753544253242000000,1753544260331000000,0
StorageLockContext.competingThreads.90P,1753544253242000000,1753544260331000000,0
FilePageCache.totalPageDisposalsUs,1753544253242000000,1753544260331000000,437
FilePageCache.capacityInBytes,1753544253242000000,1753544260331000000,524288000
FilePageCache.totalPageLoadsUs,1753544253242000000,1753544260331000000,65458
FilePageCache.pageLoadsAboveSizeThreshold,1753544253242000000,1753544260331000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1753544253242000000,1753544260331000000,52445184
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1753544253242000000,1753544260331000000,52445184
DirectByteBufferAllocator.hits,1753544253242000000,1753544260331000000,3
FilePageCache.pageFastCacheHits,1753544253242000000,1753544260331000000,15652
FilePageCache.uncachedFileAccess,1753544253242000000,1753544260331000000,361
FilePageCache.pageLoads,1753544253242000000,1753544260331000000,229
FilePageCache.maxRegisteredFiles,1753544253242000000,1753544260331000000,834
DirectByteBufferAllocator.misses,1753544253242000000,1753544260331000000,226
workspaceModel.check.recursive.update.ms,1753544253242000000,1753544260331000000,0
workspaceModel.updates.ms,1753544253242000000,1753544260331000000,0
workspaceModel.updates.precise.ms,1753544253242000000,1753544260331000000,0
workspaceModel.updates.count,1753544253242000000,1753544260331000000,0
workspaceModel.update.unloaded.entities.ms,1753544253242000000,1753544260331000000,0
workspaceModel.initializing.ms,1753544253242000000,1753544260331000000,0
workspaceModel.to.snapshot.ms,1753544253242000000,1753544260331000000,0
workspaceModel.collect.changes.ms,1753544253242000000,1753544260331000000,0
workspaceModel.loading.total.ms,1753544253242000000,1753544260331000000,12
workspaceModel.init.bridges.ms,1753544253242000000,1753544260331000000,0
workspaceModel.replace.project.model.ms,1753544253242000000,1753544260331000000,0
workspaceModel.pre.handlers.ms,1753544253242000000,1753544260331000000,0
workspaceModel.loading.from.cache.ms,1753544253242000000,1753544260331000000,8
NonBlockingReadAction.failedExecutionTimeUs,1753544253242000000,1753544260331000000,0
NonBlockingReadAction.failedExecutionsCount,1753544253242000000,1753544260331000000,0
AWTEventQueue.dispatchTimeTotalNS,1753544253242000000,1753544260331000000,5931227359
NonBlockingReadAction.finalizedExecutionsCount,1753544253242000000,1753544260331000000,15
NonBlockingReadAction.finalizedExecutionTimeUs,1753544253242000000,1753544260331000000,191444
workspaceModel.mutableEntityStorage.add.diff.ms,1753544253242000000,1753544260331000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1753544253242000000,1753544260331000000,0
workspaceModel.mutableEntityStorage.entities.ms,1753544253242000000,1753544260331000000,0
workspaceModel.load.cache.from.file.ms,1753544253242000000,1753544260331000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1753544253242000000,1753544260331000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1753544253242000000,1753544260331000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1753544253242000000,1753544260331000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1753544253242000000,1753544260331000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1753544253242000000,1753544260331000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1753544253242000000,1753544260331000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1753544253242000000,1753544260331000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1753544253242000000,1753544260331000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1753544253242000000,1753544260331000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1753544253242000000,1753544260331000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1753544253242000000,1753544260331000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1753544253242000000,1753544260331000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1753544253242000000,1753544260331000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1753544253242000000,1753544260331000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1753544253242000000,1753544260331000000,1
workspaceModel.save.cache.to.file.ms,1753544253242000000,1753544260331000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1753544253242000000,1753544260331000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1753544253242000000,1753544260331000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1753544253242000000,1753544260331000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1753544253242000000,1753544260331000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1753544253242000000,1753544260331000000,0
FileNameCache.fastMisses,1753544253242000000,1753544260331000000,12
FileNameCache.totalMisses,1753544253242000000,1753544260331000000,12
FileNameCache.queries,1753544253242000000,1753544260331000000,246
